Metric_Name,Metric_Value
L1_Climate_PDE_Residue_RMSE,1.849914e-04
L1_Climate_Validation_RMSE,1.549927e-04
L1_FNO_Test_RMSE,1.440799e+01
L1_Fluid_Continuity_Residue,5.147685e-01
L1_Fluid_Momentum_x_Residue,9.524908e-02
L1_Fluid_Momentum_y_Residue,1.713025e-01
L1_Fluid_Validation_RMSE_p,5.784213e-02
L1_Fluid_Validation_RMSE_u,2.573342e-02
L1_Fluid_Validation_RMSE_v,1.553375e-02
L1_Wave_PDE_Residue_RMSE,3.989226e-03
L1_Wave_Validation_RMSE,7.372347e-02
L2_Climate_Atmosphere_PDE_Residue,2.279200e-04
L2_Climate_Atmosphere_Validation_RMSE,1.204600e-04
L2_Climate_Ocean_PDE_Residue,1.694806e-04
L2_Climate_Ocean_Validation_RMSE,1.603547e-04
L2_FNO_Test_RMSE,5.319901e+00
L2_Fluid_Continuity_Residue,3.921023e-01
L2_Fluid_Inlet_BC_RMSE_u,1.940590e-03
L2_Fluid_Inlet_BC_RMSE_v,1.154673e-03
L2_Fluid_Momentum_x_Residue,3.651811e-01
L2_Fluid_Momentum_y_Residue,1.903738e-01
L2_Wave_IC_Validation_RMSE,3.340859e-03
L2_Wave_PDE_Residue_RMSE,3.634579e-03
L3_FNO_PDE_Residue_RMSE,1.388526e+04
L3_FNO_Test_RMSE,7.153844e+00
L3_Fluid_Continuity_Residue,4.358619e-04
L3_Fluid_IC_RMSE_p_at_t0,1.789098e-02
L3_Fluid_IC_RMSE_u_at_t0,7.443450e-02
L3_Fluid_IC_RMSE_v_at_t0,8.101171e-03
L3_Fluid_Momentum_x_Residue,1.207725e-01
L3_Fluid_Momentum_y_Residue,1.575225e-02
L3_Wave_IC_Validation_RMSE,1.383613e-01
L3_Wave_PDE_Residue_RMSE,8.021736e-02
